behavior_id,behavior_name,behavior_description,behavior_why
SB001,Authenticates with MFA,"Multi-factor authentication (MFA) is the process of signing in to an account using more than one verification factor – typically something known (e.g., a password) and something possessed (e.g., a time-sensitive code sent via SMS or generated by an authenticator app).

MFA reduces the risk of account compromise by making unauthorized access significantly more difficult, even if a password is exposed.","Accounts often hold sensitive or valuable information and access to critical systems. While passwords remain a common form of authentication, they can be reused, guessed, or leaked. MFA reduces the risk of account compromise by requiring an additional factor—something in possession or inherent to the person signing in. This makes accounts more resilient to common attacks like phishing and credential stuffing."
SB003,Authenticates with a strong password (or passphrase),"A strong password (or passphrase) is essential for securing sensitive accounts, such as workplace accounts, payment-related sites, primary personal email, and social media accounts. Strong passwords are over 12 characters long, avoid personal information (e.g., names, birthdays), and should be checked in haveibeenpwned to ensure they haven't been compromised. Strong passwords can be created by password managers or by using the ""three random words"" technique (e.g., LinguiniPENCILlondon) for memorability.","Weak passwords are vulnerable to guessing, brute-force, and credential stuffing attacks. Strong passwords (or passphrases) make unauthorized access more difficult, reducing the risk of account compromise."
SB005,Authenticates with SSO,"Single sign-on (SSO) reduces login friction by allowing access to multiple services with one set of login details, making password management easier and potentially more secure.","SSO accounts provide access to multiple services, making them valuable targets for attackers. It's critical to protect these accounts with a strong password (or passphrase), multi-factor authentication (MFA), and automatic lockout after multiple failed login attempts to prevent unauthorized access."
SB007,Checks whether a password (or passphrase) or other personal information have been compromised,"Checking whether a password (or passphrase) or other personal data have been compromised can be done using tools like haveibeenpwned.com, which tracks known data breaches.","Knowing if an account's details have been leaked allows for timely security measures, such as changing login details and reviewing recent activity for any suspicious actions."
SB008,Assesses risk from publicly available personal information,"Checking personal information available online (e.g., DOB, mother's maiden name, pet's name) helps identify data that could be used in social engineering attacks or to answer security questions for account recovery.","Reviewing online personal data allows for proactive steps to limit exposure, reducing the risk of social engineering attacks and unauthorized account access."
SB009,Deactivates or deletes an unneeded account ,Deactivating or deleting unneeded accounts helps reduce the potential exposure of sensitive data that dormant accounts may hold. Security teams should be notified when accounts are no longer needed.,"Unused accounts increase the risk of sensitive data exposure, especially in the event of a data breach."
SB010,Keeps a password (or passphrase) private,Keeping a password (or passphrase) private reduces the risk of unauthorized access. Shared passwords are harder to control and can lead to accidental or intentional misuse. Any password that has been shared should be changed.,"Sharing passwords increases the risk of compromise. Even when shared with trusted individuals, accounts may be accessed without oversight, leading to unintended or harmful consequences."
SB013,Reports a security incident ,Reporting a known or suspected security incident helps reduce harm to individuals and the organization. Timely reporting allows IT or Security teams to respond quickly and limit potential damage.,"Security incidents may not always be detected by technical controls. Breaches can also occur through non-digital means, such as physical document leaks. Early reporting provides valuable time to contain and mitigate the impact. A culture of trust and transparency is essential, encouraging individuals to report incidents. Failing to report incidents promptly can allow issues to escalate, increasing risk and potential harm."
SB014,Asks for security-related help,"Asking for security-related help enables individuals to resolve issues with guidance from experienced professionals. Security experts can provide advice on the best ways to approach security challenges, whether it’s setting up a new device, configuring software, or addressing suspicious emails.","Security is a complex field with many facets, and mistakes can lead to significant vulnerabilities. Asking for help from security specialists can prevent errors and security incidents, ensuring proper security measures are in place and reducing potential risks."
SB015,Completes security awareness training ,"Completing security awareness training is an important part of organizational security. It provides individuals with the knowledge to act appropriately in security-related situations. It helps develop essential security skills and habits, empowering individuals to identify and respond effectively to potential threats.","Security awareness training strengthens an organization's security posture. With the right knowledge, individuals can become an essential line of defense against cyber threats."
SB016,Authenticates with a unique password (or passphrase),Authenticating with a unique password (or passphrase) ensures that each account has its own protection. This reduces the risk of a security breach across multiple accounts if one password is compromised.,"Using the same password across multiple accounts increases the risk of a widespread breach. If one account is compromised, all others with the same password could be affected. Using a unique password for each account helps reduce this risk."
SB018,Uses only an approved or official browser extension,"Using approved or official browser extensions ensures only trusted tools are added to the browser, reducing the likelihood of introducing malicious or unsafe software.","Unapproved extensions can pose security risks, potentially compromising data or exposing systems to malware."
SB019,Downloads content only from an approved or official website,"Downloading content (e.g., files) from approved or official websites reduces the risk of malware and other harmful software that could compromise accounts or systems.","Downloading content from untrusted websites increases the risk of malware or malicious code that could compromise accounts, systems, or data."
SB020,Checks a link's destination before clicking it,"Checking a link’s destination helps confirm where it actually leads before opening it. On most devices, this can be done by hovering over the link with a cursor or pressing and holding it on a touchscreen. The actual URL is then shown, allowing it to be reviewed for anything suspicious.","Malicious links are often disguised behind trusted-looking text or buttons. They may lead to phishing websites, scams, or sites that automatically download harmful content. Checking the destination before clicking helps avoid these threats and reduces the chance of compromise."
SB022,Uses antivirus on a device,"Using antivirus software on compatible devices helps detect and block many types of malicious software before they can cause harm. These tools often run in the background, scanning files and monitoring activity to identify threats early.","Antivirus protection reduces the chance of malware infecting a device. It helps prevent known threats like trojans, keyloggers, and ransomware from executing, safeguarding both personal and organizational data."
SB023,Uses a firewall on a device,"Using a firewall helps control which applications and services can communicate with a device. Firewalls act as a barrier, monitoring network traffic and blocking unauthorized access attempts.","Firewalls reduce the likelihood of malicious software sending or receiving data. They help prevent unauthorized communication, making it harder for attackers to exploit a device or spread threats across a network."
SB024,Keeps software up-to-date,"Keeping software up-to-date, either manually or through automatic updates, helps ensure devices have the latest security patches and protections. This includes operating systems (e.g., Windows, macOS, Android, iOS) and applications (e.g., Zoom, Microsoft Office). Updates can fix vulnerabilities and improve how well systems resist attacks.","Outdated software may contain known vulnerabilities that attackers can exploit. Regular updates fix these issues and may introduce new security features. Applying updates helps protect devices against malware, unauthorized access, and other threats."
SB027,Downloads an application only from an approved or official source,"Downloading applications from approved company platforms or official stores (e.g., Apple App Store, Google Play) helps ensure that apps are verified and free from known malware.","Applications from unofficial sources may be modified to include malicious code. These apps can compromise devices, steal data, or enable unauthorized access. Trusted sources scan and vet apps, reducing the likelihood of installing harmful software."
SB028,Enables filename extensions to be displayed,"Enabling file extensions helps reveal the actual format of a file – such as .exe, .scr, or .vbs  – instead of disguising it as a seemingly harmless type like .pdf or .doc.","When file extensions are hidden (a common default in some operating systems or due to specific workplace configurations), a dangerous file may appear safe and be opened by mistake. Showing file extensions makes it easier to spot suspicious files and avoid launching harmful programs."
SB030,Follows advice in an official security warning,"Official security warnings alert to potentially harmful activity – such as unsafe websites, suspicious downloads, or unsafe app behavior. Following the guidance helps prevent further harm.","Ignoring security warnings can allow threats to spread or worsen, increasing the chance of device or data compromise. Taking the recommended action – like disconnecting from a site or removing a flagged file – helps contain issues before they escalate."
SB032,Inserts only an approved removable media into a device,"Inserting only approved or official removable media (e.g., USB sticks, external drives) helps prevent harmful activity, like installing malware or creating backdoor access. Unknown or unapproved devices should be avoided or handed to the IT or security team.","Malicious removable media can install malware, steal data, or even damage systems. Devices like USB sticks can appear harmless but may contain hidden threats. Using only approved media helps block physical access attacks and keeps systems protected."
SB035,Changes the default password on a device,"Changing the default password on a device (e.g., Wi-Fi router, smart camera) prevents attackers from using widely known login details to gain access.","Default passwords are often published online and easily found by cybercriminals. If left unchanged, they can be used to take control of devices or access the networks they’re connected to. Setting a strong, unique password or passphrase helps protect both the device and its data."
SB036,Secures a device when not in use,Securing a device when not in use means locking the screen or storing the device securely to prevent unauthorized access when it’s left unattended.,"Unattended devices can be misused, tampered with, or accessed without permission. Locking the screen prevents casual snooping, while securely storing the device protects others from physically accessing it. Both actions reduce the risk of unauthorized access, especially in public or shared spaces."
SB038,Shuts down a device when not in use,Shutting down a device when not in use means reducing the risk of unauthorized access and ensuring that security updates requiring a restart are properly applied.,"Shutting down devices is important because it takes them offline, preventing network attacks outside of working hours. The process also guarantees that critical security updates are finalized, closing vulnerabilities and keeping company data safe from known threats."
SB039,Enables wireless connectivity on a device only when in use,"Turning off wireless features (e.g., Bluetooth, AirDrop) when not in use enhances device security and conserves battery life.","Wireless technologies like Bluetooth can be exploited by attackers to access device data. For example, Bluetooth vulnerabilities may allow attackers to connect to a device without the user's knowledge. Turning off wireless features when not in use reduces the risk of unauthorized access or attacks."
SB040,Uses only an approved or official VPN when using an untrusted network,"Using only an approved or official (e.g., from a trusted provider) virtual private network (VPN) protects data when connecting to public or untrusted networks (e.g., airport Wi-Fi).","Untrusted networks (e.g., public Wi-Fi) may expose sensitive data to interception. A VPN encrypts internet traffic, preventing data from being intercepted or read in transit. This helps keep information secure when using untrusted networks."
SB042,Tethers only from an approved device instead of using an untrusted network,"Tethering to an approved mobile device (e.g., via 4G or 5G) protects data when connecting to public or untrusted networks (e.g., airport Wi-Fi).","Untrusted networks (e.g., public Wi-Fi) may expose sensitive data to interception. Tethering uses encrypted mobile networks, making them more secure than many public Wi-Fi networks."
SB043,Configures a device to only connect automatically to trusted Wi-Fi networks,"Configuring a device to connect to Wi-Fi networks manually prevents connecting to untrusted or malicious networks. Automatically joining networks can expose sensitive data to interception or unauthorized access. By controlling which networks the device connects to, security risks are minimized.","Untrusted networks (e.g., public Wi-Fi) may expose sensitive data to interception. By configuring devices to connect to Wi-Fi manually, users can ensure they only connect to trusted networks, minimizing the risk of unauthorized access."
SB044,Enables full-disk or device encryption,"Enabling full-disk or device encryption protects data by making it unreadable to unauthorized individuals in case the device is lost or stolen. Some devices have this feature enabled by default, while others require manual activation.","Enabling encryption ensures that even if a device is lost or stolen, the data on it remains inaccessible to anyone without the decryption key. This adds a critical layer of security, safeguarding sensitive information and reducing the risk of data exposure."
SB045,Reports unnecessary access to information or systems,"Reporting unnecessary access to information or systems involves an individual proactively notifying the relevant department in their organization when they find that their own current access rights (e.g., to specific files, folders, applications, or systems) exceed what is genuinely required for their current job responsibilities. This often occurs after a role change, project completion, or if initial permissions were overly broad.","Unnecessary access to information or systems poses a security risk. If an account is compromised (e.g., via phishing), attackers may be able to access sensitive data or systems that should have been restricted – potentially increasing the scope and impact of a breach. It also raises the risk of individuals accidentally viewing, modifying, or deleting information they shouldn't have access to."
SB046,Removes data from a device before decommissioning,"Data should be securely erased from devices prior to decommissioning to prevent unauthorized access if the devices are resold, recycled, or disposed of. This ensures that sensitive information cannot be recovered.","Removing data from a device before decommissioning means an individual takes responsibility for securely and permanently erasing all information, particularly any organizational data, from devices under their personal control (such as personal smartphones, laptops, tablets, or USB drives that were used for work purposes) before these items are sold, donated, recycled, repurposed, or otherwise disposed of. This process may involve using features like factory resets, employing data wiping utilities, or following specific organizational guidance for data sanitization on such devices."
SB050,Prevents public exposure of sensitive information,"Preventing sensitive information from being overheard or viewed in shared or public spaces means being mindful when discussing confidential matters in non-private environments. It also includes not exposing sensitive content on screens, printed materials, or whiteboards where others might see or hear it.","In shared or public environments, sensitive conversations can be easily overheard, and visible information on screens or documents can be seen by others (“shoulder surfing”). This exposure increases the risk of data breaches, compromise of confidential information, or its use in social engineering attacks."
SB051,Classifies information based on its sensitivity ,"Classifying information based on its sensitivity means applying the appropriate sensitivity label (e.g., Public, Internal, Confidential, Restricted) to information an individual creates, handles, or modifies, in accordance with organizational data classification policies.","If sensitive information is not correctly classified, or if its classification is not updated when its sensitivity level changes, it may be inadequately protected and become vulnerable to unauthorized access, misuse, or accidental disclosure. This can lead to data breaches, financial loss, or regulatory non-compliance."
